Year,Total Sugar Production
2000,6849
2001,8305
2002,11380
2003,10734
2004,9826
2005,9446
2006,12855
2007,15898
2008,13317
2009,11429
2010,11199
2011,12341
2012,14001
2013,14263
2014,11000
2015,9050
2016,9300
2017,10250
2018,10800
