Year,Total Sugar Production
2000,7956
2001,7167
2002,7644
2003,7847
2004,7146
2005,6713
2006,7662
2007,7396
2008,6833
2009,7224
2010,7104
2011,7700
2012,8148
2013,7676
2014,7853
2015,8155
2016,8136
2017,8393
2018,8148
